Region.Label,Area,repeats,Sample.Label,Effort,distance,species,visit
Montrave,33.2,2,1,0.208,75,c,1
Montrave,33.2,2,1,0.208,40,c,1
Montrave,33.2,2,1,0.208,42,c,1
Montrave,33.2,2,1,0.208,12,r,1
Montrave,33.2,2,1,0.208,15,w,1
Montrave,33.2,2,1,0.208,80,w,1
Montrave,33.2,2,1,0.208,35,w,1
Montrave,33.2,2,1,0.208,55,w,1
Montrave,33.2,2,1,0.208,55,c,2
Montrave,33.2,2,1,0.208,26,r,2
Montrave,33.2,2,1,0.208,70,r,2
Montrave,33.2,2,1,0.208,12,w,2
Montrave,33.2,2,1,0.208,75,w,2
Montrave,33.2,2,1,0.208,23,w,2
Montrave,33.2,2,1,0.208,70,w,2
Montrave,33.2,2,1,0.208,75,w,2
Montrave,33.2,2,1,0.208,56,w,2
Montrave,33.2,2,2,0.401,8,c,1
Montrave,33.2,2,2,0.401,5,c,1
Montrave,33.2,2,2,0.401,40,c,1
Montrave,33.2,2,2,0.401,20,g,1
Montrave,33.2,2,2,0.401,5,r,1
Montrave,33.2,2,2,0.401,24,r,1
Montrave,33.2,2,2,0.401,20,r,1
Montrave,33.2,2,2,0.401,20,w,1
Montrave,33.2,2,2,0.401,24,w,1
Montrave,33.2,2,2,0.401,10,w,1
Montrave,33.2,2,2,0.401,60,w,1
Montrave,33.2,2,2,0.401,65,w,1
Montrave,33.2,2,2,0.401,0,w,1
Montrave,33.2,2,2,0.401,0,c,2
Montrave,33.2,2,2,0.401,35,c,2
Montrave,33.2,2,2,0.401,28,c,2
Montrave,33.2,2,2,0.401,60,c,2
Montrave,33.2,2,2,0.401,19,g,2
Montrave,33.2,2,2,0.401,5,r,2
Montrave,33.2,2,2,0.401,30,r,2
Montrave,33.2,2,2,0.401,45,r,2
Montrave,33.2,2,2,0.401,53,r,2
Montrave,33.2,2,2,0.401,50,r,2
Montrave,33.2,2,2,0.401,40,w,2
Montrave,33.2,2,2,0.401,32,w,2
Montrave,33.2,2,2,0.401,20,w,2
Montrave,33.2,2,2,0.401,60,w,2
Montrave,33.2,2,2,0.401,40,w,2
Montrave,33.2,2,3,0.401,8,c,1
Montrave,33.2,2,3,0.401,34,c,1
Montrave,33.2,2,3,0.401,55,c,1
Montrave,33.2,2,3,0.401,60,c,1
Montrave,33.2,2,3,0.401,55,g,1
Montrave,33.2,2,3,0.401,28,r,1
Montrave,33.2,2,3,0.401,27,r,1
Montrave,33.2,2,3,0.401,5,r,1
Montrave,33.2,2,3,0.401,22,r,1
Montrave,33.2,2,3,0.401,40,r,1
Montrave,33.2,2,3,0.401,33,w,1
Montrave,33.2,2,3,0.401,5,w,1
Montrave,33.2,2,3,0.401,35,w,1
Montrave,33.2,2,3,0.401,15,w,1
Montrave,33.2,2,3,0.401,70,w,1
Montrave,33.2,2,3,0.401,5,w,1
Montrave,33.2,2,3,0.401,5,c,2
Montrave,33.2,2,3,0.401,15,c,2
Montrave,33.2,2,3,0.401,80,c,2
Montrave,33.2,2,3,0.401,25,g,2
Montrave,33.2,2,3,0.401,25,g,2
Montrave,33.2,2,3,0.401,5,r,2
Montrave,33.2,2,3,0.401,32,r,2
Montrave,33.2,2,3,0.401,15,r,2
Montrave,33.2,2,3,0.401,0,r,2
Montrave,33.2,2,3,0.401,20,r,2
Montrave,33.2,2,3,0.401,60,r,2
Montrave,33.2,2,3,0.401,48,w,2
Montrave,33.2,2,3,0.401,32,w,2
Montrave,33.2,2,3,0.401,0,w,2
Montrave,33.2,2,3,0.401,33,w,2
Montrave,33.2,2,3,0.401,20,w,2
Montrave,33.2,2,3,0.401,35,w,2
Montrave,33.2,2,4,0.299,45,c,1
Montrave,33.2,2,4,0.299,10,c,1
Montrave,33.2,2,4,0.299,15,c,1
Montrave,33.2,2,4,0.299,85,g,1
Montrave,33.2,2,4,0.299,60,g,1
Montrave,33.2,2,4,0.299,30,g,1
Montrave,33.2,2,4,0.299,72,r,1
Montrave,33.2,2,4,0.299,35,r,1
Montrave,33.2,2,4,0.299,5,w,1
Montrave,33.2,2,4,0.299,80,w,1
Montrave,33.2,2,4,0.299,80,w,1
Montrave,33.2,2,4,0.299,55,w,1
Montrave,33.2,2,4,0.299,12,c,2
Montrave,33.2,2,4,0.299,78,c,2
Montrave,33.2,2,4,0.299,8,g,2
Montrave,33.2,2,4,0.299,22,g,2
Montrave,33.2,2,4,0.299,100,r,2
Montrave,33.2,2,4,0.299,75,r,2
Montrave,33.2,2,4,0.299,15,r,2
Montrave,33.2,2,4,0.299,70,w,2
Montrave,33.2,2,4,0.299,75,w,2
Montrave,33.2,2,4,0.299,22,w,2
Montrave,33.2,2,4,0.299,85,w,2
Montrave,33.2,2,4,0.299,75,w,2
Montrave,33.2,2,4,0.299,35,w,2
Montrave,33.2,2,4,0.299,40,w,2
Montrave,33.2,2,5,0.35,80,c,1
Montrave,33.2,2,5,0.35,15,c,1
Montrave,33.2,2,5,0.35,30,c,1
Montrave,33.2,2,5,0.35,25,c,1
Montrave,33.2,2,5,0.35,45,c,1
Montrave,33.2,2,5,0.35,8,g,1
Montrave,33.2,2,5,0.35,22,r,1
