DAYS,STATE
26.3,1
26.3,1
26.3,1
26.3,1
26.3,1
26.3,1
26.3,1
26.3,1
52.6,1
52.6,1
52.6,1
52.6,1
52.6,1
52.6,1
52.6,1
52.6,1
78.9,0
78.9,1
78.9,1
78.9,1
78.9,0
78.9,1
78.9,0
78.9,1
105.2,0
105.2,0
105.2,0
105.2,1
105.2,1
105.2,1
105.2,1
105.2,0
131.5,0
131.5,1
131.5,1
131.5,1
131.5,0
131.5,1
131.5,0
131.5,1
157.8,1
157.8,1
157.8,0
157.8,0
157.8,0
157.8,1
157.8,0
157.8,0
184.1,1
184.1,1
184.1,0
184.1,0
184.1,0
184.1,1
184.1,0
184.1,0
210.4,1
210.4,0
210.4,0
210.4,0
210.4,1
210.4,1
210.4,0
210.4,0
236.7,0
236.7,0
236.7,1
236.7,1
236.7,0
236.7,0
236.7,0
236.7,0
263,0
263,0
263,0
263,0
263,0
263,0
263,1
263,0
289.3,0
289.3,0
289.3,0
289.3,0
289.3,0
289.3,0
289.3,0
289.3,0
